,year,sid,post,homicide,murder,robbery,assault,burglary,larceny,l_exp_pubwelfare,l_police,l_income,unemployrt,poverty,blackm_15_24,whitem_15_24,popwt
27,2005,3,0,7.633144,7.290081,147.15672,333.59412,966.20166,3020.8726,7.0762053,5.865528,10.830362,4.6,14.352746276526677,0.29832727,3.6536171,5802964.5
28,2006,3,0,8.530212,8.513995,153.5276,344.3546,953.04846,2874.1462,7.073736,5.8510466,10.828817,4.1,13.952491584118757,0.30230358,3.4848673,5802964.5
29,2007,3,1,8.923674,8.61484,158.57806,325.4784,963.7242,2864.8242,7.122257,5.885931,10.812734,3.8,14.240817271940411,0.3223738,3.5236807,5802964.5
30,2008,3,1,7.156422,7.09337,153.80003,297.44867,916.227,2669.4087,7.1432114,5.889329,10.768632,5.1,14.742340421239,0.32791862,3.4180114,5802964.5
31,2009,3,1,6.0080333,5.9764123,129.63123,273.04932,858.6428,2466.0764,7.2508726,5.892255,10.747079,8.6,16.849814185757324,0.3424579,3.3934796,5802964.5
32,2010,3,1,6.4452577,6.382223,109.317245,261.18265,800.0787,2420.7378,7.2804503,5.854319,10.763822,9.5,15.93302353,0.39063933,4.773304,5802964.5
33,2000,4,0,6.462801,6.462801,76.97658,341.87448,824.89197,2682.8318,6.8751,5.64795,10.5347595,4.2,15.193737853395973,1.4365499,5.412327,2732902.5
34,2001,4,0,5.6528745,5.385509,83.30351,342.57184,847.7784,2657.9968,6.9486294,5.662664,10.622741,4.7,16.00557953995532,1.452254,5.400214,2732902.5
35,2002,4,0,5.389305,5.199541,95.793,306.69702,881.6068,2699.5486,7.0782166,5.6694803,10.577758,5.3,16.546912763089182,1.4577692,5.364598,2732902.5
36,2003,4,0,6.792294,5.99986,84.03577,344.55798,943.9779,2568.2795,7.09824,5.6724567,10.543709,5.8,16.310561790629805,1.4745315,5.3504786,2732902.5
37,2004,4,0,6.5772953,6.203585,88.644,376.81174,1126.7728,2774.4973,7.164019,5.6783466,10.606139,5.7,15.866827710742518,1.4764906,5.2691607,2732902.5
38,2005,4,0,6.996292,6.7001524,93.7281,397.8262,1114.8906,2795.1853,7.178753,5.7121024,10.619887,5.1,17.093088811078278,1.4614476,5.1937656,2732902.5
39,2006,4,0,7.5065675,7.2575345,98.97285,404.03833,1154.446,2596.7031,7.156012,5.683826,10.598458,5.3,16.762093755959004,1.4322958,4.9646873,2732902.5
40,2007,4,0,7.1648736,6.986643,110.53867,374.6409,1136.185,2601.6333,7.2144036,5.708399,10.66658,5.4,17.235264153922873,1.441102,4.9834013,2732902.5
41,2008,4,0,5.7949567,5.7242866,97.383545,357.8386,1193.337,2455.1536,7.2076764,5.834732,10.598807,5.2,16.930460872204595,1.4364426,4.919954,2732902.5
42,2009,4,0,6.306941,6.0250664,90.76357,379.54395,1224.4978,2403.9663,7.2240677,5.861601,10.522477,7.1,18.28752110094523,1.4272712,4.8605375,2732902.5
43,2010,4,0,4.7624454,4.5553827,81.85884,376.6128,1121.97,2268.0283,7.281892,5.8402414,10.560256,7.7,17.8843975,1.3095,5.0557156,2732902.5
44,2000,5,0,6.2901087,6.2901087,182.28607,418.78992,672.5575,1972.2168,7.2422085,5.749037,10.989926,4.9,13.024696860034707,0.50634015,2.8180654,35311970.0
45,2001,5,0,6.5495877,6.5495877,191.8382,404.04068,689.6158,2071.5789,7.2165027,5.751651,10.971726,5.4,13.117108262578139,0.508365,2.826239,35311970.0
46,2002,5,0,6.9839587,6.9839587,189.45045,381.4991,695.2699,2086.9993,7.325587,5.8049126,10.959401,6.7,13.549932870887362,0.5075603,2.8089104,35311970.0
47,2003,5,0,6.9464707,6.9406986,184.03674,373.3836,699.1895,2111.0286,7.4132695,5.7979703,10.9758415,6.9,13.956737946632519,0.50739825,2.7859185,35311970.0
48,2004,5,0,6.8235188,6.826371,176.20197,329.19485,701.47314,2078.6829,7.3423448,5.771945,10.947574,6.2,13.355055438665394,0.5119037,2.7795029,35311970.0
49,2005,5,0,7.0949187,7.0949187,180.34076,325.0142,710.11835,1962.8435,7.4175344,5.7519774,10.964779,5.4,13.234747880084702,0.52120584,2.7950153,35311970.0
50,2006,5,0,6.829861,6.8134036,194.95003,306.178,676.9051,1831.5,7.3619747,5.7618527,10.999112,4.9,12.855241585220115,0.51091474,2.6979296,35311970.0
51,2007,5,0,6.2319956,6.2319956,194.521,301.14603,653.57916,1798.2561,7.3980727,5.809924,10.978626,5.4,12.258258200789218,0.51793396,2.7152584,35311970.0
52,2008,5,0,5.881626,5.881626,190.5213,287.6093,652.75616,1786.2158,7.4228926,5.826383,10.963619,7.2,13.12849549345787,0.51740736,2.68379,35311970.0
53,2009,5,0,5.431231,5.431231,176.52327,275.84705,634.0053,1694.9242,7.4842234,5.8161464,10.951876,11.6,14.13618349210366,0.5203516,2.6675663,35311970.0
54,2010,5,0,4.8929396,4.8929396,157.19075,259.32578,619.0069,1624.3748,7.4541197,5.773167,10.905204,12.4,14.18773378,0.53340614,4.0739574,35311970.0
55,2000,6,0,3.1917636,3.0250297,72.26724,224.49532,646.2845,2687.8223,6.782578,5.775768,11.019891,2.7,9.166316128457526,0.31917635,5.1907125,4600371.5
56,2001,6,0,3.6618795,3.3374093,82.392296,228.2649,661.29376,2812.6943,6.851554,5.8625884,11.015904,3.8,8.846869463724678,0.32616222,5.240312,4600371.5
57,2002,6,0,4.0648017,3.8831344,81.27332,228.40097,719.3563,2842.9314,6.75921,5.8628645,10.977295,5.7,9.692439855129564,0.32968038,5.240937,4600371.5
58,2003,6,0,4.1592736,3.8445177,84.03981,223.04948,728.30005,2798.9888,6.821399,5.85009,10.988728,6.2,10.154428210037473,0.3282229,5.21456,4600371.5
59,2004,6,0,4.4680457,4.4013586,83.11454,249.76598,733.78204,2741.024,6.811012,5.838752,10.980825,5.6,10.376625140515594,0.34177217,5.2165656,4600371.5
60,2005,6,0,3.7919936,3.6385603,86.53636,270.72205,761.5989,2796.913,6.805729,5.8248997,10.939231,5.1,10.910486155497164,0.3420466,5.1767287,4600371.5
61,2006,6,0,3.5974424,3.5974424,80.363914,265.43234,681.9993,2325.0837,6.827836,5.847916,11.005926,4.3,11.346291278810833,0.34211466,5.026784,4600371.5
62,2007,6,0,3.251411,3.251411,72.60086,238.21306,600.1895,2101.901,6.8482747,5.8621755,11.071206,3.8,11.506219320052333,0.34674725,5.0184584,4600371.5
63,2008,6,0,3.2201014,3.1375346,69.5418,237.58568,582.5494,2053.1863,6.8592544,5.8521967,11.030266,5.1,11.163946919518933,0.34942228,4.9597816,4600371.5
64,2009,6,0,3.2829459,3.241651,69.602585,231.72643,549.9864,1963.1398,6.9104204,5.886072,10.948224,7.5,12.774087273918067,0.35928643,4.9574757,4600371.5
65,2010,6,0,2.4143252,2.5551608,63.013885,214.9353,526.18207,1963.4901,6.9293613,5.8390646,11.009439,8.1,12.25443044,0.35100263,5.5242176,4600371.5
66,2000,7,0,2.971835,2.971835,116.20481,195.59526,528.744,2077.1914,7.1247644,5.6879005,11.059157,2.3,7.3819165666452164,0.73568076,4.3054004,3424474.2
67,2001,7,0,3.165386,3.1955326,126.10295,197.91199,517.28436,1982.4963,7.1690555,5.691,11.092839,3.1,7.226757098227354,0.75972277,4.389667,3424474.2
68,2002,7,0,2.5072045,2.477357,121.45018,176.51913,510.7235,1932.1891,7.1718163,5.6724505,11.077563,4.4,7.9799841508859535,0.7738308,4.479419,3424474.2
69,2003,7,0,3.3222187,3.2332308,124.939156,178.65825,475.87817,1944.9218,7.1934614,5.6516523,11.084601,5.5,8.099420955072627,0.79036176,4.5726485,3424474.2
70,2004,7,0,2.9503024,2.8617933,123.55867,149.58034,470.83878,1969.917,7.3159833,5.6567216,11.060385,4.9,9.282212065969944,0.8027478,4.687529,3424474.2
71,2005,7,0,3.0930104,3.0340958,115.85533,141.1591,449.07565,1897.5177,7.3345656,5.6476154,11.058417,4.8,8.318106394253952,0.82447875,4.8074512,3424474.2
72,2006,7,0,3.9089148,3.9089148,126.91134,148.02519,442.56335,1839.815,7.346919,5.6234694,11.119631,4.3,8.019809353377031,0.8209577,4.744766,3424474.2
73,2007,7,0,3.233328,3.233328,123.12399,155.68617,447.5155,1743.6223,7.3432674,5.6436834,11.119112,4.6,7.698325336330504,0.8307364,4.7535934,3424474.2
74,2008,7,0,3.77898,3.77898,115.745575,168.39365,432.49283,1809.6733,7.396189,5.7206244,11.089806,5.8,8.831333241339982,0.8451746,4.781927,3424474.2
75,2009,7,0,3.0333493,3.0333493,114.49463,166.66252,434.1696,1716.7612,7.480118,5.710678,11.096228,8.2,9.10027709360487,0.85291487,4.788085,3424474.2
76,2010,7,0,3.6501617,3.7343962,99.76173,162.60066,426.00195,1586.613,7.4342494,5.684079,11.104235,9.0,9.444653159,0.89336306,4.940045,3424474.2
77,2000,8,0,3.2937338,3.1619844,183.6586,463.75772,687.20465,2814.1663,6.818771,5.970809,11.063006,3.3,8.876481027434169,1.5692666,4.686193,822992.0
78,2001,8,0,2.9808962,3.7585216,149.82245,423.6761,666.68396,2524.1711,6.8777075,5.951025,11.020055,3.5,8.611550325306514,1.602815,4.693227,822992.0
79,2002,8,0,3.3238688,3.8352332,147.52864,421.61996,684.5891,2372.0918,6.993193,5.982513,11.004995,4.0,9.527486477606713,1.6303576,4.667095,822992.0
80,2003,8,0,2.6498623,2.6498623,181.83102,465.99722,765.43164,2389.0403,7.019892,5.9629946,10.97011,4.2,9.263792533445049,1.660328,4.626155,822992.0
81,2004,8,0,3.4764428,3.4764428,166.74509,419.2838,703.85547,2394.4,7.2894435,5.9831476,10.923453,4.0,9.913324832603074,1.672169,4.581331,822992.0
82,2005,8,0,4.519984,5.0086308,159.54321,441.24814,709.8818,2209.2947,7.3352942,5.96317,10.954694,4.0,10.297133963769275,1.7015907,4.516319,822992.0
83,2006,8,0,4.9210525,4.9210525,209.84773,437.38782,742.49304,2394.092,7.3722396,5.8901596,10.945635,3.6,10.398534932440983,1.6832342,4.3724723,822992.0
84,2007,8,0,4.573766,4.573766,208.39955,468.40054,761.82526,2436.2927,7.3987317,5.903965,10.95787,3.4,10.162321784378594,1.7274762,4.4235353,822992.0
85,2008,8,0,6.6140327,6.6140327,214.31787,453.93152,787.0699,2558.0063,7.441735,5.9041533,10.846284,4.6,10.208469675239382,1.7358935,4.3579516,822992.0
86,2009,8,0,4.746293,4.746293,194.48225,416.40042,803.74426,2412.043,7.4862185,5.891621,10.877557,8.1,11.160619194473,1.7311237,4.312644,822992.0
87,2010,8,0,5.382427,5.7188287,205.0929,379.68536,842.6862,2413.0093,7.526988,5.8734255,10.919968,8.7,10.97880557,1.8044586,4.5496087,822992.0
88,2000,10,0,5.7908993,5.707531,203.98972,577.21735,1108.7872,3323.8223,6.612029,6.0246444,10.803568,3.8,12.03967721540215,1.2267472,2.1707792,17281274.0
89,2001,10,0,5.460078,5.4538307,205.32767,564.3184,1099.837,3226.9934,6.731031,5.9749074,10.711168,4.7,12.794836390706173,1.2422926,2.1736107,17281274.0
90,2002,10,0,5.5825677,5.551928,199.65492,542.177,1086.1311,3134.3145,6.7825823,6.0579505,10.738221,5.7,13.098106853897773,1.2488528,2.1669493,17281274.0
91,2003,10,0,5.5601873,5.5601873,189.69025,512.12695,1026.8535,3041.7896,6.8623333,6.0251226,10.740757,5.3,13.354420725056858,1.2507473,2.132007,17281274.0
92,2004,10,0,5.567921,5.567921,176.5549,507.34592,978.9889,2839.781,6.953999,6.0506716,10.753404,4.7,12.212917306423362,1.278868,2.1538026,17281274.0
93,2005,10,0,5.0798182,5.056807,173.39842,508.2177,947.98157,2720.6196,6.975622,6.0144396,10.779227,3.9,12.77622663377,1.2751898,2.1155517,17281274.0
94,2006,10,1,6.2410555,6.2355275,188.76291,485.63593,944.5774,2618.999,6.9276214,6.014571,10.807584,3.3,12.341336091116977,1.2796043,2.058708,17281274.0
95,2007,10,1,6.6722445,6.6722445,211.80214,479.45795,1009.4129,2724.263,6.9199705,6.0256004,10.78218,4.0,12.02952973387014,1.3155202,2.0706384,17281274.0
96,2008,10,1,6.4293222,6.4238224,199.47398,455.66238,1036.5839,2787.95,6.913868,6.0070543,10.723796,6.0,13.063376232330295,1.3327286,2.0683112,17281274.0
97,2009,10,1,5.581037,5.581037,169.6317,417.68326,998.13306,2633.388,6.9428453,5.9824424,10.74471,10.5,14.886562816574308,1.3515658,2.0840042,17281274.0
98,2010,10,1,5.285303,5.285303,139.68837,372.28992,905.6182,2454.9832,7.019406,5.9600835,10.697453,11.9,14.66394815,1.2911884,2.0388312,17281274.0
99,2000,11,0,8.18597,7.5320983,166.61153,320.01987,861.1993,3023.4019,6.7694807,5.912764,10.879009,3.5,12.654038644569326,0.0351959,0.25879484,8871351.0
100,2001,11,0,7.337416,6.9938583,176.71149,300.50278,880.96844,2926.1812,6.865631,5.9093146,10.867311,4.0,12.987876821716004,0.042441677,0.2782206,8871351.0
101,2002,11,0,7.2781854,7.1460733,161.3211,277.73605,887.93866,2817.4866,7.0380735,5.768584,10.859768,4.8,13.297809542373873,0.045458633,0.28455785,8871351.0
102,2003,11,0,7.786018,7.53715,166.42169,266.6563,936.23016,2929.4863,7.03167,5.90458,10.825959,4.8,13.694195316230246,0.045187347,0.2830342,8871351.0
103,2004,11,0,7.1432824,6.455756,159.13322,274.5561,967.1049,2906.5586,7.1094246,5.8332186,10.764414,4.7,14.189682000408087,0.043733668,0.28837654,8871351.0
104,2005,11,0,6.39373,6.1329927,159.17441,271.81287,957.5064,2829.4976,7.0772657,5.788776,10.84529,5.1,14.413201828062624,0.04859915,0.29849878,8871351.0
105,2006,11,0,6.5570683,6.183294,171.01773,276.80652,907.9083,2547.8801,6.929292,5.79757,10.884817,4.7,14.3129372557986,0.047917858,0.28852168,8871351.0
106,2007,11,1,7.833669,7.544327,185.39326,287.30597,969.1031,2557.141,6.9952955,5.738344,10.842498,4.4,14.2437857089658,0.04394785,0.27248523,8871351.0
107,2008,11,1,6.835447,6.604093,187.83807,279.7801,1058.5688,2595.8293,6.9345856,5.855726,10.753895,6.1,14.606392888443196,0.04487208,0.26868564,8871351.0
108,2009,11,1,5.959358,5.875127,154.04836,258.5161,1038.2129,2413.3926,6.9647646,5.904,10.693194,9.7,16.689530176200112,0.046822026,0.26512825,8871351.0
109,2010,11,1,5.8047853,5.731965,128.71434,250.16751,1006.194,2347.4114,6.93579,5.8318973,10.694396,10.2,16.03643657,0.026641674,0.24613121,8871351.0
110,2000,12,0,2.9768107,2.9768107,95.51309,123.32501,907.0767,3678.8276,7.0147877,5.7291813,11.086181,4.0,10.066467929117886,0.055708885,7.6047306,1248183.9
111,2001,12,0,2.692209,2.692209,96.07821,129.05777,939.0762,3779.6091,6.980355,5.6936793,10.975465,4.2,10.591318467291764,0.057966623,7.722181,1248183.9
112,2002,12,0,1.9858721,1.9858721,100.121056,137.02518,1052.6777,4082.9531,7.0293703,5.683552,10.956562,4.0,11.144300919210583,0.05874872,7.6764717,1248183.9
113,2003,12,0,1.8004968,1.8004968,95.59001,150.83252,933.72125,3667.039,7.073268,5.678181,11.025963,3.9,10.91469328128261,0.062526345,7.723722,1248183.9
114,2004,12,0,2.689469,2.689469,76.93511,155.09271,882.3903,3347.8184,7.144258,5.6322765,11.080911,3.2,9.163509936365532,0.06837771,7.7887836,1248183.9
115,2005,12,0,1.9383633,2.0191283,80.8459,152.24228,790.85223,3407.3196,7.1512194,5.6635504,11.105679,2.7,9.833639971635284,0.07462699,7.8179846,1248183.9
116,2006,12,0,1.6336081,1.3224447,88.99275,162.5829,678.6475,2939.25,7.090842,5.6498466,11.088155,2.4,9.164619470430916,0.07553493,7.5506926,1248183.9
117,2007,12,0,1.880091,1.880091,87.89425,158.31932,712.0061,2937.172,7.115412,5.6633906,11.117257,2.7,8.321909169673507,0.081705615,7.5991707,1248183.9
118,2008,12,0,2.0308168,2.0308168,84.74755,159.02858,734.5308,2454.4766,7.1205835,5.691781,11.0397005,4.0,9.108838505537491,0.08513809,7.5759625,1248183.9
119,2009,12,0,1.7965368,1.7965368,80.453606,164.96893,722.0516,2610.0554,7.200581,5.6936493,10.943199,6.9,10.3024352446141,0.09092038,7.4754677,1248183.9
120,2010,12,0,1.7810522,1.8552628,78.21788,158.1426,642.8857,2324.2732,7.282712,5.6219726,10.976902,6.5,9.782726465,0.09254051,7.172149,1248183.9
121,2000,13,0,1.2673699,1.2673699,17.663967,209.43288,580.61383,2261.0671,6.6383734,5.5651236,10.7710085,4.6,11.488945762113085,11.550888,42.896828,1401675.9
122,2001,13,0,2.3264976,2.3264976,18.999731,194.72784,582.16724,2193.4995,6.781303,5.5979543,10.759922,4.9,11.757653401494542,11.430858,42.488827,1401675.9
123,2002,13,0,2.7516203,2.7516203,18.344135,202.2441,568.7446,2221.1692,6.8344965,5.589761,10.73005,5.4,11.963357588357589,11.358078,42.048275,1401675.9
124,2003,13,0,1.9502462,1.9502462,18.37732,191.72421,587.84924,2217.2048,6.878614,5.581176,10.824388,5.3,12.002940371221866,11.274749,41.586224,1401675.9
125,2004,13,0,2.279157,2.279157,17.718609,190.12581,563.9811,2087.193,6.9362245,5.584048,10.8435335,4.7,11.821325851816562,11.309104,41.607628,1401675.9
126,2005,13,0,2.5078208,2.937733,19.059439,200.05244,577.9452,1978.0258,7.0002785,5.5744624,10.80645,4.0,13.359806367572013,11.12806,40.70315,1401675.9
127,2006,13,0,2.1821182,2.1821182,20.048212,183.5707,510.2065,1712.4172,6.9670615,5.582266,10.819258,3.4,12.474419778174044,10.679627,38.749237,1401675.9
128,2007,13,0,3.3491473,3.3491473,16.130587,198.76164,480.6368,1686.3982,6.9730887,5.6277924,10.8536,2.7,12.154670454164869,10.803665,38.923447,1401675.9
129,2008,13,0,1.539787,1.539787,16.13429,189.9294,455.57614,1591.4703,6.9983215,5.6992784,10.779373,4.2,12.453195493377912,10.713303,37.854996,1401675.9
130,2009,13,0,1.6079615,1.6079615,17.017593,197.77927,447.6833,1545.385,7.0889716,5.643318,10.769537,8.0,14.574027535001639,10.837192,37.586906,1401675.9
131,2010,13,0,1.3518698,1.4162446,13.776197,174.13371,418.56464,1510.3605,7.0466056,5.6328263,10.758201,9.2,14.04863126,10.176039,39.220448,1401675.9
132,2000,14,0,7.4230137,5.554861,211.95267,419.35068,676.5854,2588.6396,6.930705,6.0239134,10.973735,4.5,10.149905203648487,0.34592238,3.0660355,12520122.0
133,2001,14,0,8.075343,5.904375,205.01668,405.79834,650.945,2522.5745,6.981245,6.026395,10.948365,5.4,10.261409218094624,0.35108006,3.0727913,12520122.0
134,2002,14,0,7.826353,5.822937,206.1564,367.40695,663.24475,2477.615,6.984662,6.0180817,10.854431,6.6,11.498215615944163,0.3517787,3.0538006,12520122.0
135,2003,14,0,7.2594714,5.2560196,192.93161,336.66104,635.4674,2400.1436,7.006147,6.0113034,10.88796,6.7,11.57442041230392,0.3576121,3.0554993,12520122.0
136,2004,14,0,6.295135,4.083767,182.25223,337.21747,614.08234,2316.4885,7.075484,6.0037355,10.881551,6.2,11.993967001064766,0.36233345,3.0437784,12520122.0
137,2005,14,0,6.189536,4.1317163,186.93202,338.8811,624.058,2231.9468,7.173257,6.0236683,10.89772,5.7,11.936897921931624,0.36791566,3.0372615,12520122.0
138,2006,14,0,6.078568,4.855061,185.33397,318.40784,602.08215,2124.21,7.125266,6.0055313,10.871079,4.5,11.97113927167847,0.36409843,2.9407487,12520122.0
139,2007,14,0,5.8827906,5.210025,180.70805,317.39688,590.81366,2095.83,7.155058,6.037423,10.918954,5.0,11.704187318690556,0.37277493,2.9366155,12520122.0
140,2008,14,0,6.1579165,5.128999,187.5982,303.05524,615.54224,2101.12,7.211719,6.015435,10.895405,6.6,11.920128857915348,0.37636563,2.9173794,12520122.0
141,2009,14,0,6.0461273,5.396931,179.29544,286.17816,608.9147,1946.1882,7.3008323,5.98544,10.891969,10.0,13.072642774842446,0.38329944,2.9194896,12520122.0
142,2010,14,0,5.5174966,5.470606,156.72504,250.41307,589.2546,1874.0264,7.295567,5.9650626,10.834884,10.5,12.787283,0.38519317,2.982504,12520122.0
143,2000,15,0,5.9637456,5.2521625,106.432526,217.49034,696.4706,2451.6924,6.7663407,5.57626,10.853987,2.9,8.968033138094086,0.10809289,3.349863,6158275.5
144,2001,15,0,6.9569025,6.4010243,120.79407,226.29305,720.25,2481.0874,6.8040886,5.6390915,10.814323,4.2,9.159225476076172,0.111394666,3.353008,6158275.5
145,2002,15,0,6.05262,5.517582,110.55228,220.43575,712.3533,2442.3325,6.9455967,5.6668463,10.814706,5.2,9.78529751720524,0.113628745,3.3478513,6158275.5
146,2003,15,0,5.617002,5.3178716,106.374054,222.40337,691.0242,2421.0608,6.9652123,5.6629467,10.825641,5.3,10.1312932648325,0.11617888,3.3568566,6158275.5
147,2004,15,0,5.215442,4.9513693,105.183586,194.78687,695.9645,2453.7336,6.985952,5.6432414,10.796715,5.3,11.278740635722809,0.119096935,3.3512354,6158275.5
148,2005,15,0,5.842414,5.4649544,111.74437,185.13559,718.09174,2482.6648,6.9816647,5.613437,10.766294,5.3,12.089069894304828,0.12090186,3.3406134,6158275.5
149,2006,15,0,5.733727,5.4011073,113.81923,174.94203,723.98596,2397.2522,6.9699297,5.530932,10.801676,5.0,12.174539717938645,0.12362359,3.226156,6158275.5
150,2007,15,1,5.617543,5.3160367,124.72851,180.9674,738.40546,2362.177,7.0451117,5.5470777,10.817777,4.6,11.98480660813525,0.12847354,3.1930022,6158275.5
151,2008,15,1,5.0823956,4.8929896,119.81511,187.81187,771.90857,2313.0425,7.1579437,5.523858,10.760199,5.9,12.620235352796383,0.13289991,3.1515589,6158275.5
152,2009,15,1,4.91922,4.6511855,115.83817,191.95995,770.6778,2163.0378,7.0929413,5.5826087,10.715218,10.0,14.120983484507374,0.1404185,3.1149225,6158275.5
153,2010,15,1,4.5213466,4.041341,96.295395,187.62039,729.5317,2121.7349,7.121458,5.4856067,10.743372,9.9,13.80079102,0.15275028,2.979397,6158275.5
154,2000,16,0,1.6299601,1.8071296,37.949722,212.7098,579.06104,2307.3857,6.89284,5.5749435,10.857055,2.8,8.42207462028131,0.504012,5.745893,2907060.2
155,2001,16,0,1.7737057,1.7382315,40.937126,213.27037,598.9804,2349.9473,7.0322146,5.5851717,10.829016,3.3,8.37597026134134,0.5161838,5.864119,2907060.2
156,2002,16,0,1.5534573,1.624069,41.272537,225.1807,658.2069,2415.3083,7.021083,5.582811,10.814766,3.9,9.250591019887079,0.52937585,5.9261923,2907060.2
157,2003,16,0,1.7606453,1.7606453,39.825794,218.24959,616.754,2267.711,7.061813,5.5759153,10.800799,4.4,9.289762763621408,0.52731323,5.958164,2907060.2
158,2004,16,0,1.5432289,1.5432289,40.685123,228.43294,628.7956,2182.0554,7.1390557,5.565522,10.821497,4.7,10.68328209696738,0.5399547,5.993655,2907060.2
159,2005,16,0,1.3973598,1.3973598,40.2789,232.55562,633.94727,2121.297,7.157426,5.575935,10.85771,4.3,10.784579155372796,0.54486555,6.0192676,2907060.2
